개방서비스명,좌표정보(x),좌표정보(y),주소
병원,147994.2651,-4276.599384,애월읍
병원,147994.2651,-4276.599384,애월읍
의원,186734.7064,2826.983753,구좌읍
의원,186516.4117,2988.293922,구좌읍
의원,145213.3963,-1207.015501,애월읍
의원,176813.4863,6465.702126,구좌읍
의원,137175.6431,-3386.805041,애월읍
의원,186641.9271,2986.479152,구좌읍
의원,144963.6976,-2447.132358,애월읍
의원,186788.4007,2743.432713,구좌읍
의원,136892.8056,-3810.247057,애월읍
의원,136767.2162,-3289.624995,애월읍
의원,186410.7079,2998.907626,구좌읍
의원,145226.1403,-1119.192932,애월읍
의원,144247.8477,-1625.90769,애월읍
의원,144262.9955,-1623.464061,애월읍
의원,144573.2675,-1539.677767,애월읍
의원,144665.2267,-1428.278425,애월읍
의원,136576.3858,-3291.16669,애월읍
의원,136635.3141,-3288.716923,애월읍
의원,186618.6844,3023.142143,구좌읍
의원,186851.8051,2719.300179,구좌읍
의원,186604.666,2990.318955,구좌읍
의원,144375.2655,-1643.815716,애월읍
의원,176748.2905,6478.789326,구좌읍
의원,145226.1403,-1119.192932,애월읍
의원,145160.8884,-1113.955597,애월읍
의원,142998.6849,-9853.677515,애월읍
의원,144665.2267,-1428.278425,애월읍
의원,144282.5062,-1655.667938,애월읍
의원,141064.2366,-2593.064583,애월읍
의원,145098.9283,-1155.543351,애월읍
의원,145554.9996,-919.7167622,애월읍
부속의료기관,142750.9883,-9448.437076,애월읍
안전상비의약품 판매업소,190066.1273,-393.8258008,구좌읍
안전상비의약품 판매업소,186704.083,3205.521226,구좌읍
안전상비의약품 판매업소,143470.6006,-3184.22536,애월읍
안전상비의약품 판매업소,185020.6293,3659.578682,구좌읍
안전상비의약품 판매업소,189076.8511,2469.665285,구좌읍
안전상비의약품 판매업소,139743.4928,-3059.203711,애월읍
안전상비의약품 판매업소,139467.6878,-3173.54553,애월읍
안전상비의약품 판매업소,143512.4647,-3025.06816,애월읍
안전상비의약품 판매업소,147087.4804,-5800.728755,애월읍
안전상비의약품 판매업소,145656.5748,-1121.778992,애월읍
안전상비의약품 판매업소,176697.8283,6463.828439,구좌읍
안전상비의약품 판매업소,147528.2969,-3452.546105,애월읍
안전상비의약품 판매업소,144262.9955,-1623.464061,애월읍
안전상비의약품 판매업소,180081.758,-2787.235006,구좌읍
안전상비의약품 판매업소,144609.6588,-1514.719998,애월읍
안전상비의약품 판매업소,145914.554,-711.7771426,애월읍
안전상비의약품 판매업소,140155.4819,-1812.853558,애월읍
안전상비의약품 판매업소,141277.4656,-1866.080093,애월읍
안전상비의약품 판매업소,145509.3345,-946.0513732,애월읍
안전상비의약품 판매업소,177136.9508,6619.983538,구좌읍
안전상비의약품 판매업소,141210.2053,-2524.306927,애월읍
안전상비의약품 판매업소,138420.3367,-3088.317597,애월읍
안전상비의약품 판매업소,145423.9904,-4084.213446,애월읍
안전상비의약품 판매업소,186704.083,3205.521226,구좌읍
안전상비의약품 판매업소,180941.1776,6593.562467,구좌읍
안전상비의약품 판매업소,145595.8099,-1344.779628,애월읍
안전상비의약품 판매업소,138264.736,-3054.119565,애월읍
안전상비의약품 판매업소,144151.8149,-1670.573966,애월읍
안전상비의약품 판매업소,143857.0624,-1367.34391,애월읍
안전상비의약품 판매업소,135500.6638,-4796.394297,애월읍
안전상비의약품 판매업소,144994.3598,-1123.289364,애월읍
안전상비의약품 판매업소,140700.6241,-1934.716371,애월읍
안전상비의약품 판매업소,144653.7729,-1591.91867,애월읍
안전상비의약품 판매업소,141855.4647,-1432.739988,애월읍
안전상비의약품 판매업소,137126.0984,-3129.87513,애월읍
안전상비의약품 판매업소,145274.7237,-996.2144556,애월읍
안전상비의약품 판매업소,135621.8835,-4715.667329,애월읍
안전상비의약품 판매업소,135972.686,-3908.647265,애월읍
안전상비의약품 판매업소,147541.6359,-5052.480099,애월읍
안전상비의약품 판매업소,172973.9783,6347.124017,구좌읍
안전상비의약품 판매업소,186537.7346,2776.518995,구좌읍
안전상비의약품 판매업소,148261.5885,-3737.787969,애월읍
안전상비의약품 판매업소,145470.7929,-1467.62073,애월읍
안전상비의약품 판매업소,186510.1451,3462.247985,구좌읍
안전상비의약품 판매업소,135999.0489,-8514.76203,애월읍
