,읍면동명,외부 방문자 평균(1달),대피가능인원수,인구수,65세 이상,이용금액,주요 업종명,업종 이용금액,방문자 대비 수용가능 수,거주민 대비 수용가능 수,전체 거주민 대비 노인 수(%)
0,건입동,13168.4,12902,9311,1822,74182634461.0,한식 음식점업,16919247572.0,-266.39999999999964,3591,19
1,구좌읍,21917.9,1095,15589,3872,79882902260.0,한식 음식점업,26463558630.0,-20822.9,-14494,24
2,남원읍,14369.566666666668,17121,18905,4410,87235451286.0,골프장 운영업,21048136916.0,2751.4333333333325,-1784,23
3,노형동,23486.5,97733,54222,4517,401318000000.0,한식 음식점업,104045000000.0,74246.5,43511,8
4,대륜동,17091.033333333333,16767,14443,2182,109196000000.0,기타 대형 종합 소매업,49000207110.0,-324.03333333333285,2324,15
5,대정읍,14502.933333333332,31159,21334,4201,96310014904.0,한식 음식점업,27382013751.0,16656.066666666666,9825,19
6,대천동,6771.6,35558,13785,1805,55154085834.0,차량용 주유소 운영업,13157092408.0,28786.4,21773,13
7,도두동,21464.033333333333,438,3186,430,46270823836.0,한식 음식점업,11232473367.0,-21026.033333333333,-2748,13
8,동홍동,10190.9,25853,23118,2962,107373000000.0,슈퍼마켓,26970248010.0,15662.1,2735,12
9,봉개동,6565.4,1823,5270,848,37371613337.0,차량용 주유소 운영업,11843852760.0,-4742.4,-3447,16
10,삼도일동,3719.5333333333333,10127,13854,2420,55936627071.0,슈퍼마켓,18981122572.0,6407.466666666667,-3727,17
11,삼도이동,10283.966666666667,37844,8174,1488,99831703025.0,기타 대형 종합 소매업,50670391650.0,27560.033333333333,29670,18
12,삼양동,3429.233333333333,35792,25702,2418,69455596361.0,슈퍼마켓,17526663774.0,32362.766666666666,10090,9
13,서홍동,3466.733333333333,17000,10433,1397,23229546372.0,한식 음식점업,7258959329.0,13533.266666666666,6567,13
14,성산읍,28243.066666666666,16901,15557,3566,131599000000.0,한식 음식점업,42122948076.0,-11342.066666666666,1344,22
15,송산동,4425.1,21091,4286,996,334316000000.0,한식 음식점업,79772290778.0,16665.9,16805,23
16,아라동,10703.0,76664,34806,3040,135488000000.0,한식 음식점업,41034409084.0,65961.0,41858,8
17,안덕면,28889.133333333335,9453,12023,2403,115380000000.0,한식 음식점업,27357254244.0,-19436.133333333335,-2570,19
18,애월읍,39681.13333333333,21198,36233,6045,204097000000.0,차량용 주유소 운영업,46663758819.0,-18483.13333333333,-15035,16
19,연동,30287.1,71950,41513,4153,536937000000.0,정기 항공 운송업,157254000000.0,41662.9,30437,10
20,영천동,4803.566666666667,10167,5289,1223,64100427325.0,슈퍼마켓,21235150041.0,5363.433333333333,4878,23
21,예래동,22060.633333333335,13810,3974,847,116760000000.0,호텔업,40955086188.0,-8250.633333333335,9836,21
22,오라동,9356.3,8073,15334,1372,78670968507.0,한식 음식점업,19898508866.0,-1283.2999999999993,-7261,8
23,외도동,4187.933333333333,32935,21801,1940,70833874163.0,한식 음식점업,18824221277.0,28747.066666666666,11134,8
24,용담일동,3987.6666666666665,4713,7225,1414,31593098997.0,한식 음식점업,9615110314.0,725.3333333333335,-2512,19
25,용담이동,53451.13333333333,10667,15074,2781,454994000000.0,면세점,307803000000.0,-42784.13333333333,-4407,18
26,이도일동,12071.366666666667,32900,7649,1347,76165401537.0,그외 기타 종합 소매업,13255090852.0,20828.63333333333,25251,17
27,이도이동,14398.2,63093,49964,5373,329967000000.0,한식 음식점업,104675000000.0,48694.8,13129,10
28,이호동,8209.833333333334,4125,4569,639,20761220580.0,차량용 주유소 운영업,5073650957.0,-4084.833333333334,-444,13
29,일도일동,7458.366666666667,6766,2724,680,88028580566.0,스포츠 및 레크레이션 용품 임대업,41658860344.0,-692.3666666666668,4042,24
30,일도이동,7352.3,31594,33683,4792,174714000000.0,그외 기타 종합 소매업,60087360614.0,24241.7,-2089,14
31,조천읍,27215.633333333335,14667,24670,4490,134251000000.0,한식 음식점업,38864361247.0,-12548.633333333335,-10003,18
32,중문동,14749.9,12521,11337,1815,104686000000.0,한식 음식점업,27124512970.0,-2228.8999999999996,1184,16
33,표선면,18186.566666666666,14959,12284,2606,82353282865.0,한식 음식점업,19108251766.0,-3227.5666666666657,2675,21
34,한경면,10881.433333333332,7571,9037,2452,37990776803.0,한식 음식점업,8939510569.0,-3310.4333333333325,-1466,27
35,한림읍,22240.366666666665,8187,21365,4453,134169000000.0,한식 음식점업,34658061080.0,-14053.366666666665,-13178,20
36,화북동,3926.5,76773,24855,2871,80563081573.0,차량용 주유소 운영업,20049065997.0,72846.5,51918,11
37,효돈동,3645.0666666666666,622,5291,1199,18130581107.0,차량용 주유소 운영업,5577976844.0,-3023.0666666666666,-4669,22
38,서귀동,24499.2,0,9525,2095,589919000000.0,,,-24499.2,-9525,21
