행정기관,법정동,대피소수,면적,전체,남성,여성,세대수,세대당인구
건입동,"건입동,건입동",12,2.53,"8,805","4,479","4,326","4,175",2.11
구좌읍,"구좌읍,김녕리,덕천리,동복리,상도리,세화리,송당리,월정리,종달리,평대리,하도리,한동리,행원리,구좌읍",3,185.93,"15,359","7,845","7,514","8,058",1.91
노형동,"노형동,노형동,?해안동",21,45.24,"55,369","27,049","28,320","24,004",2.31
도두동,"도두동,도두1동,?도두2동",2,4.03,"3,253","1,712","1,541","1,580",2.06
봉개동,"봉개동,봉개동,?회천동,?용강동",2,47.34,"5,263","2,727","2,536","2,435",2.16
삼도1동,"삼도1동,삼도1동",9,1.27,"12,961","6,366","6,595","6,054",2.14
삼도2동,"삼도2동,삼도2동",11,0.83,"7,722","4,015","3,707","4,100",1.88
삼양동,"삼양동,삼양1동,?삼양2동,?삼양3동,?도련1동,?도련2동",10,9.53,"26,352","13,197","13,155","10,234",2.57
아라동,"아라동,아라1동,?아라2동,?월평동,?영평동,?오등동",16,70.64,"39,978","19,604","20,374","17,212",2.32
애월읍,"애월읍,고내리,고성리,곽지리,광령리,구엄리,금성리,남읍리,봉성리,상가리,상귀리,소길리,수산리,신엄리,애월리,어음리,유수암리,장전리,하가리,하귀1리,하귀2리",4,202.16,"37,821","19,391","18,430","17,706",2.14
연동,"연동,연동",45,12.32,"42,647","20,981","21,666","22,257",1.92
오라동,"오라동,오라1동,?오라2동,?오라3동",8,28.74,"15,996","8,053","7,943","6,375",2.51
외도동,"외도동,외도1동,?외도2동,?내도동,?도평동",5,8.4,"22,583","11,326","11,257","8,994",2.51
용담1동,"용담1동,용담1동",9,0.61,"6,630","3,463","3,167","3,431",1.93
용담2동,"용담2동,용담2동,?용담3동",18,4.93,"13,841","7,018","6,823","6,380",2.17
우도면,"우도면,연평리",1,6.18,"1,610",862,748,864,1.86
이도1동,"이도1동,이도1동",16,0.69,"7,652","3,774","3,878","3,958",1.93
이도2동,"이도2동,이도2동,?도남동",49,5.4,"48,704","23,752","24,952","21,417",2.27
이호동,"이호동,이호1동,?이호2동",8,2.56,"4,421","2,306","2,115","1,966",2.25
일도1동,"일도1동,일도1동",3,0.33,"2,193","1,146","1,047","1,333",1.65
일도2동,"일도2동,일도2동",37,2.18,"31,568","15,469","16,099","13,423",2.35
조천읍,"조천읍,교래리,대흘리,북촌리,선흘리,신촌리,신흥리,와산리,와흘리,조천리,함덕리",10,150.64,"25,778","13,182","12,596","11,987",2.15
추자면,"추자면,대서리,묵리,신양리,영흥리,예초리",1,7.05,"1,575",859,716,952,1.65
한경면,"한경면,고산리,금등리,낙천리,두모리,신창리,용수리,저지리,조수리,청수리,판포리",3,79.03,"9,589","4,791","4,798","5,143",1.86
한림읍,"한림읍,귀덕리,금능리,금악리,대림리,동명리,명월리,상대리,상명리,수원리,옹포리,월령리,월림리,한림리,한수리,협재리",4,91.09,"20,939","10,801","10,138","10,742",1.95
화북동,"화북동,화북1동,?화북2동",,8.29,"23,378","11,595","11,783","9,674",2.42
