이름,한자,인구,면적,법정동·리
한림읍,翰林邑,"23,143",91.09,"귀덕리,금능리,금악리,대림리,동명리,명월리,상대리,상명리,수원리"
,,,,"옹포리,월령리,월림리,한림리,한수리,협재리"
애월읍,涯月邑,"31,790",202.16,"고내리,고성리,곽지리,광령리,구엄리,금성리,남읍리,봉성리,상가리,상귀리"
,,,,"소길리,수산리,신엄리,애월리,어음리,유수암리,장전리,하가리,하귀1리,하귀2리"
구좌읍,舊左邑,"15,216",185.93,"김녕리,덕천리,동복리,상도리,세화리,송당리,월정리,종달리,평대리,하도리,한동리,행원리"
조천읍,朝天邑,"21,547",150.64,"교래리,대흘리,북촌리,선흘리,신촌리,신흥리,와산리,와흘리,조천리,함덕리"
한경면,翰京面,"8,775",79.03,"고산리,금등리,낙천리,두모리,신창리,용수리,저지리,조수리,청수리,판포리"
추자면,楸子面,"2,417",7.05,"대서리,묵리,신양리,영흥리,예초리"
우도면,牛島面,"1,752",6.18,연평리
일도1동,一徒洞,"3,428",0.33,일도1동
일도2동,,"36,375",2.18,일도2동
이도1동,二徒洞,"8,006",0.69,이도1동
이도2동,,"51,596",5.4,"이도2동, 도남동"
삼도1동,三徒洞,"14,776",1.27,삼도1동
삼도2동,,"9,175",0.83,삼도2동
용담1동,龍潭洞,"8,263",0.61,용담1동
용담2동,,"16,656",4.93,"용담2동, 용담3동"
건입동,健入洞,"10,230",2.53,건입동
화북동,禾北洞,"25,967",8.29,"화북1동, 화북2동"
삼양동,三陽洞,"19,551",9.53,"삼양1동, 삼양2동, 삼양3동, 도련1동, 도련2동"
봉개동,奉蓋洞,"3,269",47.34,"봉개동, 회천동, 용강동"
아라동,我羅洞,"25,434",70.64,"아라1동, 아라2동, 월평동, 영평동, 오등동"
오라동,吾羅洞,"10,309",28.74,"오라1동, 오라2동, 오라3동"
연동,連洞,"44,117",12.32,연동
노형동,老衡洞,"54,560",45.24,"노형동, 해안동"
외도동,外都洞,"18,997",8.4,"외도1동, 외도2동, 내도동, 도평동"
이호동,梨湖洞,"4,086",2.56,"이호1동, 이호2동"
도두동,道頭洞,"2,903",4.03,"도두1동, 도두2동"
