행정기관,법정동,대피소수,면적,전체,남성,여성,세대수,세대당인구
건입동,"건입동,건입동",12,2.53,8805 ,4479 ,4326 ,4175 ,2.11
구좌읍,"구좌읍,김녕리,덕천리,동복리,상도리,세화리,송당리,월정리,종달리,평대리,하도리,한동리,행원리,구좌읍",3,185.93,15359 ,7845 ,7514 ,8058 ,1.91
노형동,"노형동,노형동, 해안동",21,45.24,55369 ,27049 ,28320 ,24004 ,2.31
도두동,"도두동,도두1동, 도두2동",2,4.03,3253 ,1712 ,1541 ,1580 ,2.06
봉개동,"봉개동,봉개동, 회천동, 용강동",2,47.34,5263 ,2727 ,2536 ,2435 ,2.16
삼도1동,"삼도1동,삼도1동",9,1.27,12961 ,6366 ,6595 ,6054 ,2.14
삼도2동,"삼도2동,삼도2동",11,0.83,7722 ,4015 ,3707 ,4100 ,1.88
삼양동,"삼양동,삼양1동, 삼양2동, 삼양3동, 도련1동, 도련2동",10,9.53,26352 ,13197 ,13155 ,10234 ,2.57
아라동,"아라동,아라1동, 아라2동, 월평동, 영평동, 오등동",16,70.64,39978 ,19604 ,20374 ,17212 ,2.32
애월읍,"애월읍,고내리,고성리,곽지리,광령리,구엄리,금성리,남읍리,봉성리,상가리,상귀리,소길리,수산리,신엄리,애월리,어음리,유수암리,장전리,하가리,하귀1리,하귀2리",4,202.16,37821 ,19391 ,18430 ,17706 ,2.14
연동,"연동,연동",45,12.32,42647 ,20981 ,21666 ,22257 ,1.92
오라동,"오라동,오라1동, 오라2동, 오라3동",8,28.74,15996 ,8053 ,7943 ,6375 ,2.51
외도동,"외도동,외도1동, 외도2동, 내도동, 도평동",5,8.4,22583 ,11326 ,11257 ,8994 ,2.51
용담1동,"용담1동,용담1동",9,0.61,6630 ,3463 ,3167 ,3431 ,1.93
용담2동,"용담2동,용담2동, 용담3동",18,4.93,13841 ,7018 ,6823 ,6380 ,2.17
우도면,"우도면,연평리",1,6.18,1610 ,862 ,748 ,864 ,1.86
이도1동,"이도1동,이도1동",16,0.69,7652 ,3774 ,3878 ,3958 ,1.93
이도2동,"이도2동,이도2동, 도남동",49,5.4,48704 ,23752 ,24952 ,21417 ,2.27
이호동,"이호동,이호1동, 이호2동",8,2.56,4421 ,2306 ,2115 ,1966 ,2.25
일도1동,"일도1동,일도1동",3,0.33,2193 ,1146 ,1047 ,1333 ,1.65
일도2동,"일도2동,일도2동",37,2.18,31568 ,15469 ,16099 ,13423 ,2.35
조천읍,"조천읍,교래리,대흘리,북촌리,선흘리,신촌리,신흥리,와산리,와흘리,조천리,함덕리",10,150.64,25778 ,13182 ,12596 ,11987 ,2.15
추자면,"추자면,대서리,묵리,신양리,영흥리,예초리",1,7.05,1575 ,859 ,716 ,952 ,1.65
한경면,"한경면,고산리,금등리,낙천리,두모리,신창리,용수리,저지리,조수리,청수리,판포리",3,79.03,9589 ,4791 ,4798 ,5143 ,1.86
한림읍,"한림읍,귀덕리,금능리,금악리,대림리,동명리,명월리,상대리,상명리,수원리,옹포리,월령리,월림리,한림리,한수리,협재리",4,91.09,20939 ,10801 ,10138 ,10742 ,1.95
화북동,"화북동,화북1동, 화북2동",,8.29,23378 ,11595 ,11783 ,9674 ,2.42
