번호,관리번호,지정일자,해제일자,운영상태,읍면동명,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보(X),좌표정보(Y)
1,6520000-S199500002,1995.1.3,,사용중,대천동,성산빌라 지하1층,공공용시설,제주특별자치도 서귀포시 신서귀로97번길 84 (성산연립주택),제주특별자치도 서귀포시 강정동 178번지 1호,63567,지하,231.41,280,2023.5.31 13:37,I,2023.7.28 1:14,33,15,5.05,126,30,20.08,33.25140269,126.5055777,907367.6905,1473783.808
2,6520000-S199500009,1995.8.9,,사용중,동홍동,세기아파트 가동 지하1층,공공용시설,제주특별자치도 서귀포시 태평로 549 (세기아파트),제주특별자치도 서귀포시 동홍동 139번지 1호,63589,지하,652,790,2023.5.31 13:38,I,2023.7.28 1:14,33,15,9.91,126,34,31.28,33.25275411,126.5753561,913869.2424,1473873.945
3,6520000-S199500017,1995.8.10,,사용중,동홍동,삼아아파트 101동 지하1층,공공용시설,제주특별자치도 서귀포시 태평로536번길 6 (삼아아파트),제주특별자치도 서귀포시 동홍동 201번지,63597,지하,604.33,732,2023.5.31 13:58,I,2023.7.28 1:14,33,15,6.15,126,34,29.84,33.25170775,126.5749566,913831.0006,1473758.264
4,6520000-S199500018,1995.8.10,,사용중,동홍동,삼아아파트 102동 지하1층,공공용시설,제주특별자치도 서귀포시 태평로536번길 6 (삼아아파트),제주특별자치도 서귀포시 동홍동 201번지,63597,지하,934.53,1132,2023.5.31 13:59,I,2023.7.28 1:14,33,15,6.15,126,34,29.84,33.25170775,126.5749566,913831.0006,1473758.264
5,6520000-S199400001,1994.2.21,,사용중,대륜동,서귀포시청 제2청사 지하1층,공공용시설,제주특별자치도 서귀포시 신중로 55-0,제주특별자치도 서귀포시 법환동 731번지,63565,지하,2677,3244,2023.5.31 13:35,I,2023.7.28 1:14,33,15,17.4,126,30,40.27,33.25483799,126.5111594,907891.2604,1474159.749
6,6520000-S199400002,1994.3.21,,사용중,대륜동,KT신서귀포지점 지하1층,공공용시설,제주특별자치도 서귀포시 신중로 50-0,제주특별자치도 서귀포시 법환동 733번지,63566,지하,545,660,2023.5.31 13:35,I,2023.7.28 1:14,33,15,16.02,126,30,37.91,33.25455377,126.5105562,907834.7704,1474128.768
7,6520000-S199400003,1994.3.21,,사용중,대륜동,기영빌라 지하1층,공공용시설,제주특별자치도 서귀포시 이어도로 943-0,제주특별자치도 서귀포시 법환동 398번지,63573,지하,793,961,2023.5.31 13:36,I,2023.7.28 1:14,33,14,21.16,126,30,50.98,33.23914815,126.5143194,908169.2125,1472417.417
8,6520000-S198800002,1988.2.21,,사용중,서귀동,더루케테호텔 지하 1층,공공용시설,제주특별자치도 서귀포시 천지연로29번길 8 (뉴서울호텔),제주특별자치도 서귀포시 서귀동 698번지 4호,63596,지하,211.23,256,2023.6.14 10:45,I,2023.7.28 1:14,33,14,28.92,126,33,46.74,33.24130375,126.562969,912703.9549,1472614.719
9,6520000-S200200001,2002.3.28,,사용중,서귀동,선경오피스텔 지하주차장 1층,공공용시설,제주특별자치도 서귀포시 중정로 123 (선경오피스텔),제주특별자치도 서귀포시 서귀동 251번지 1호,63590,지하,2788.35,3379,2023.6.12 15:51,I,2023.7.28 1:14,33,14,55.72,126,34,10.17,33.24867745,126.5694561,913315.6053,1473426.843
10,6520000-S200200015,2002.3.28,,사용중,서귀동,서귀포중앙우체국 지하창고 1층,공공용시설,제주특별자치도 서귀포시 중정로 57 (중앙우체국),제주특별자치도 서귀포시 서귀동 293번지 3호,63591,지하,360,436,2023.5.31 14:05,I,2023.7.28 1:14,33,14,53.02,126,33,44.13,33.24786395,126.5625336,912669.9117,1473342.414
11,6520000-S200200033,2002.3.28,,사용중,서귀동,KT서귀포지점 지하주차장 1층,공공용시설,제주특별자치도 서귀포시 중앙로42번길 7,제주특별자치도 서귀포시 서귀동 292번지 5호,63591,지하,330,400,2023.5.31 14:05,I,2023.7.28 1:14,33,14,54.67,126,33,44.09,33.24849196,126.5623857,912656.7651,1473412.166
12,6520000-S200200034,2002.3.28,,사용중,서귀동,국민은행 지하주차장 1층,공공용시설,제주특별자치도 서귀포시 중정로 55 (국민은행),제주특별자치도 서귀포시 서귀동 293번지 17호,63591,지하,421.8,511,2023.5.31 14:05,I,2023.7.28 1:14,33,14,52.38,126,33,44,33.2477996,126.562287,912646.881,1473335.487
13,6520000-S199400009,1994.1.1,,사용중,서홍동,서홍새마을금고본소 지하1층,공공용시설,"제주특별자치도 서귀포시 중산간동로 8037, 서홍새마을금고 지하1층 (서홍동)",제주특별자치도 서귀포시 서홍동 256-2 서홍새마을금고 지하 1층,63584,지하,596,722,2023.6.13 17:45,I,2023.7.28 1:14,33,15,50.08,126,33,28.27,33.26401474,126.5580054,912264.2149,1475136.857
14,6520000-S199600002,1996.3.30,,사용중,서홍동,예일외국어학원 지하1층,공공용시설,"제주특별자치도 서귀포시 중앙로101번길 5, 지하1층 (서홍동)",제주특별자치도 서귀포시 서홍동 441-3 지하1층,63584,지하,175,212,2023.6.13 17:48,I,2023.7.28 1:14,33,15,12.89,126,33,37.07,33.25361307,126.5603029,912467.8404,1473981.689
15,6520000-S200300006,2003.1.2,,사용중,예래동,제주신라호텔 지하1층,공공용시설,제주특별자치도 서귀포시 중문관광로72번길 75 (신라호텔),제주특별자치도 서귀포시 색달동 3039번지 3호,63535,지하,1604,1944,2023.6.2 14:11,I,2023.7.28 1:14,33,14,52.84,126,24,31.28,33.24763914,126.4080384,898276.9389,1473457.255
16,6520000-S200300014,2003.1.2,,사용중,서귀동,서귀포농협 지하1층,공공용시설,제주특별자치도 서귀포시 중앙로 75 (서귀포농협),제주특별자치도 서귀포시 서귀동 297번지 13호,63592,지하,462,560,2023.5.31 14:06,I,2023.7.28 1:14,33,15,4.11,126,33,38.85,33.25141068,126.5610926,912539.2046,1473736.847
17,6520000-S200300025,2003.1.2,,사용중,서홍동,한국SGI한일우호연수원 지하1층,공공용시설,제주특별자치도 서귀포시 남성로128번길 24,제주특별자치도 서귀포시 서홍동 731번지 3호,63594,지하,2368,2870,2023.5.31 14:06,I,2023.7.28 1:14,33,14,26.11,126,33,22.61,33.24081433,126.5560265,912056.6585,1472566.278
18,6520000-S200300031,2003.1.1,,사용중,중문동,민우아파트 지하1층,공공용시설,제주특별자치도 서귀포시 천제연로213번길 14-3 (민우중문아파트),제주특별자치도 서귀포시 중문동 1999번지 2호,63545,지하,1123.2,1361,2023.5.31 14:07,I,2023.7.28 1:14,33,15,9.59,126,25,41.06,33.25266522,126.4280719,900148.9862,1473995.184
19,6520000-S200301018,2003.1.1,,사용중,성산읍,성산포수협 어민복지회관 지하1층,공공용시설,"제주특별자치도 서귀포시 성산읍 동류암로36번길 5, 어민복지회관",제주특별자치도 서귀포시 성산읍 고성리 298-1 어민복지회관,63640,지하,170.65,206,2023.5.31 14:08,I,2023.7.28 1:14,33,26,58.81,126,54,58.31,33.44927927,126.9161456,945736.4879,1495433.263
20,6520000-S200301020,2003.1.1,,사용중,성산읍,성산포수협 신산지소 지하1층,공공용시설,"제주특별자치도 서귀포시 성산읍 일주동로 5113, 성산포수협신산지점",제주특별자치도 서귀포시 성산읍 신산리 1041-5 성산포수협신산지점,63634,지하,153.01,185,2023.5.31 14:08,I,2023.7.28 1:14,33,22,49.27,126,52,35.08,33.38038812,126.8763349,941990.6329,1487816.786
21,6520000-S200301024,2003.1.1,,사용중,성산읍,동명아파트 지하주차장 1층,공공용시설,제주특별자치도 서귀포시 성산읍 고성동서로56번길 10(동명아파트),제주특별자치도 서귀포시 성산읍 고성리 1132-21 동명아파트,63640,지하,722.49,875,2023.5.31 14:09,I,2023.7.28 1:14,33,26,59.49,126,54,49.04,33.44996179,126.9139892,945536.4968,1495510.062
22,6520000-S200101001,2001.1.2,,사용중,남원읍,수협남원지소 지하1층,공공용시설,"제주특별자치도 서귀포시 남원읍 태위로 698, 서귀포수협",제주특별자치도 서귀포시 남원읍 남원리 97-5 서귀포수협,63621,지하,360.33,436,2023.5.31 14:04,I,2023.7.28 1:14,33,16,46.08,126,43,15.88,33.27953867,126.7209881,927457.4097,1476732.921
