,읍면동명,외부 방문자 평균(1달),대피가능인원수,인구수,65세 이상,이용금액,주요 업종명,업종 이용금액,방문자 대비 수용가능 수,거주민 대비 수용가능 수,전체 거주민 대비 노인 수(%)
0,건입동,395052,12902,9311,1822,74182634461,한식 음식점업,16919247572.0,-382150,3591,19
1,구좌읍,657537,1095,15589,3872,79882902260,한식 음식점업,26463558630.0,-656442,-14494,24
2,남원읍,431087,17121,18905,4410,87235451286,골프장 운영업,21048136916.0,-413966,-1784,23
3,노형동,704595,97733,54222,4517,401317593377,한식 음식점업,104045000000.0,-606862,43511,8
4,대륜동,512731,16767,14443,2182,109195696037,기타 대형 종합 소매업,49000207110.0,-495964,2324,15
5,대정읍,435088,31159,21334,4201,96310014904,한식 음식점업,27382013751.0,-403929,9825,19
6,대천동,203148,35558,13785,1805,55154085834,차량용 주유소 운영업,13157092408.0,-167590,21773,13
7,도두동,643921,438,3186,430,46270823836,한식 음식점업,11232473367.0,-643483,-2748,13
8,동홍동,305727,25853,23118,2962,107373092058,슈퍼마켓,26970248010.0,-279874,2735,12
9,봉개동,196962,1823,5270,848,37371613337,차량용 주유소 운영업,11843852760.0,-195139,-3447,16
10,삼도일동,111586,10127,13854,2420,55936627071,슈퍼마켓,18981122572.0,-101459,-3727,17
11,삼도이동,308519,37844,8174,1488,99831703025,기타 대형 종합 소매업,50670391650.0,-270675,29670,18
12,삼양동,102877,35792,25702,2418,69455596361,슈퍼마켓,17526663774.0,-67085,10090,9
13,서홍동,104002,17000,10433,1397,23229546372,한식 음식점업,7258959329.0,-87002,6567,13
14,성산읍,847292,16901,15557,3566,131599200415,한식 음식점업,42122948076.0,-830391,1344,22
15,송산동,132753,21091,4286,996,334315709042,한식 음식점업,79772290778.0,-111662,16805,23
16,아라동,321090,76664,34806,3040,135487540252,한식 음식점업,41034409084.0,-244426,41858,8
17,안덕면,866674,9453,12023,2403,115379589886,한식 음식점업,27357254244.0,-857221,-2570,19
18,애월읍,1190434,21198,36233,6045,204096564498,차량용 주유소 운영업,46663758819.0,-1169236,-15035,16
19,연동,908613,71950,41513,4153,536937434491,정기 항공 운송업,157254000000.0,-836663,30437,10
20,영천동,144107,10167,5289,1223,64100427325,슈퍼마켓,21235150041.0,-133940,4878,23
21,예래동,661819,13810,3974,847,116759583584,호텔업,40955086188.0,-648009,9836,21
22,오라동,280689,8073,15334,1372,78670968507,한식 음식점업,19898508866.0,-272616,-7261,8
23,외도동,125638,32935,21801,1940,70833874163,한식 음식점업,18824221277.0,-92703,11134,8
24,용담일동,119630,4713,7225,1414,31593098997,한식 음식점업,9615110314.0,-114917,-2512,19
25,용담이동,1603534,10667,15074,2781,454993958246,면세점,307803000000.0,-1592867,-4407,18
26,이도일동,362141,32900,7649,1347,76165401537,그외 기타 종합 소매업,13255090852.0,-329241,25251,17
27,이도이동,431946,63093,49964,5373,329966773318,한식 음식점업,104675000000.0,-368853,13129,10
28,이호동,246295,4125,4569,639,20761220580,차량용 주유소 운영업,5073650957.0,-242170,-444,13
29,일도일동,223751,6766,2724,680,88028580566,스포츠 및 레크레이션 용품 임대업,41658860344.0,-216985,4042,24
30,일도이동,220569,31594,33683,4792,174714286499,그외 기타 종합 소매업,60087360614.0,-188975,-2089,14
31,조천읍,816469,14667,24670,4490,134251089741,한식 음식점업,38864361247.0,-801802,-10003,18
32,중문동,442497,12521,11337,1815,104686052529,한식 음식점업,27124512970.0,-429976,1184,16
33,표선면,545597,14959,12284,2606,82353282865,한식 음식점업,19108251766.0,-530638,2675,21
34,한경면,326443,7571,9037,2452,37990776803,한식 음식점업,8939510569.0,-318872,-1466,27
35,한림읍,667211,8187,21365,4453,134169386572,한식 음식점업,34658061080.0,-659024,-13178,20
36,화북동,117795,76773,24855,2871,80563081573,차량용 주유소 운영업,20049065997.0,-41022,51918,11
37,효돈동,109352,622,5291,1199,18130581107,차량용 주유소 운영업,5577976844.0,-108730,-4669,22
38,서귀동,734976,0,9525,2095,589919347551,,,-734976,-9525,21
