"행정구역(시군구)별",2023.09,2023.09,2023.09,2023.10,2023.10,2023.10,2023.11,2023.11,2023.11
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",51370001,25592335,25777666,51354226,25582773,25771453,51337076,25572695,25764381
"서울특별시",9407540,4552501,4855039,9400249,4548150,4852099,9390925,4543055,4847870
"부산광역시",3300836,1609650,1691186,3298213,1608156,1690057,3295496,1606680,1688816
"대구광역시",2377801,1168679,1209122,2376978,1168087,1208891,2376044,1167480,1208564
"인천광역시",2987918,1494725,1493193,2990276,1495744,1494532,2993492,1497231,1496261
"광주광역시",1422999,702748,720251,1421760,702121,719639,1420822,701645,719177
"대전광역시",1444595,720520,724075,1443965,720207,723758,1443106,719805,723301
"울산광역시",1104167,567314,536853,1104031,567309,536722,1103752,567145,536607
"세종특별자치시",385932,192246,193686,386079,192299,193780,386256,192396,193860
"경기도",13626339,6855626,6770713,13627840,6855616,6772224,13628135,6855041,6773094
"강원특별자치도",1530712,770130,760582,1529500,769433,760067,1528635,768910,759725
"충청북도",1594326,810835,783491,1594211,810820,783391,1594038,810734,783304
"충청남도",2127630,1089884,1037746,2128563,1090461,1038102,2129591,1091095,1038496
"전라북도",1758661,875353,883308,1757295,874659,882636,1756183,874078,882105
"전라남도",1807295,910810,896485,1805823,910179,895644,1804875,909744,895131
"경상북도",2559924,1292868,1267056,2558085,1292163,1265922,2556262,1291263,1264999
"경상남도",3257009,1639932,1617077,3255239,1638978,1616261,3253619,1638128,1615491
"제주특별자치도",676317,338514,337803,676119,338391,337728,675845,338265,337580
